IXIZXZ	(-0.007322175022714037+0j)
ZYIZXZ	0.00058736705879706j
IYZIXI	0.00058736705879706j
ZXZIXI	(-0.007322175022714037+0j)
IXIIXI	(0.007322175022714037+0j)
ZYIIXI	-0.00058736705879706j
ZXZZYI	0.00058736705879706j
IXIZYI	-0.00058736705879706j
XXZYXZ	-0.0005873670587970595j
YYIYXZ	-0.0005873670587970595j
YXZXXZ	0.0005873670587970595j
XXZXXZ	(-0.007322175022714045+0j)
YYIXXZ	(-0.007322175022714045+0j)
XYIXXZ	-0.0005873670587970595j
YXZYYI	-0.0005873670587970595j
XXZYYI	(0.007322175022714045+0j)
YYIYYI	(0.007322175022714045+0j)
XYIYYI	0.0005873670587970595j
XXZXYI	-0.0005873670587970595j
YYIXYI	-0.0005873670587970595j
ZZIIZZ	(0.07786541958463124+0j)
IZZZZI	(0.07786541958463124+0j)
ZIIIZZ	(0.07786541958463129+0j)
IZZZII	(-0.07786541958463129+0j)
ZZIZZI	(0.08348292918863716+0j)
XZIZZI	(3.0033350757128095e-07+0j)
XIIZZI	(-3.0033350757128095e-07+0j)
ZZIXZI	(-3.0033350757128095e-07+0j)
ZZIXII	(-3.0033350757128095e-07+0j)
XZIXZI	(-0.004477963477025215+0j)
XIIXZI	(0.004477963477025215+0j)
XZIXII	(-0.004477963477025215+0j)
XIIXII	(0.004477963477025215+0j)
ZIIZZI	(0.07450948689845774+0j)
ZZIZII	(-0.07450948689845774+0j)
ZIIXZI	(3.003335076171588e-07+0j)
ZIIXII	(3.003335076171588e-07+0j)
XZIZII	(3.003335076171588e-07+0j)
XIIZII	(-3.003335076171588e-07+0j)
ZIIZII	(-0.08348292918863724+0j)
IIZIZI	(0.0006539751969097708+0j)
IZIIIZ	(0.0006539751969097708+0j)
IZXIZI	(0.0005378810714334417+0j)
IIXIZI	(0.0005378810714334417+0j)
IZIIZX	(0.0005378810714334417+0j)
IZIIIX	(-0.0005378810714334417+0j)
ZXXZXI	(4.080280801745406e-05+0j)
IYYZXI	(-4.080280801745406e-05+0j)
ZXXIXZ	(-4.080280801745406e-05+0j)
IYYIXZ	(4.080280801745406e-05+0j)
ZXIZXX	(4.080280801745406e-05+0j)
IXZZXX	(-4.080280801745406e-05+0j)
ZXIIYY	(4.080280801745406e-05+0j)
IXZIYY	(-4.080280801745406e-05+0j)
XXXXXI	(-4.080280801745447e-05+0j)
YXYXXI	(4.080280801745447e-05+0j)
XXXYYZ	(4.080280801745447e-05+0j)
YXYYYZ	(-4.080280801745447e-05+0j)
XXIXXX	(-4.080280801745447e-05+0j)
YYZXXX	(-4.080280801745447e-05+0j)
XXIYXY	(4.080280801745447e-05+0j)
YYZYXY	(4.080280801745447e-05+0j)
ZXXZYY	(0.0003980275706054251+0j)
IYYZYY	(-0.0003980275706054251+0j)
ZXXIXX	(0.0003980275706054251+0j)
IYYIXX	(-0.0003980275706054251+0j)
ZYYZXX	(0.0003980275706054251+0j)
IXXZXX	(-0.0003980275706054251+0j)
ZYYIYY	(0.0003980275706054251+0j)
IXXIYY	(-0.0003980275706054251+0j)
XXXXYY	(-0.00039802757060542523+0j)
YXYXYY	(0.00039802757060542523+0j)
XXXYYX	(-0.00039802757060542523+0j)
YXYYYX	(0.00039802757060542523+0j)
XYYXXX	(-0.00039802757060542523+0j)
YYXXXX	(-0.00039802757060542523+0j)
XYYYXY	(0.00039802757060542523+0j)
YYXYXY	(0.00039802757060542523+0j)
IIZZZZ	(0.0002558990305345239+0j)
ZZZIIZ	(0.0002558990305345239+0j)
IZXZZZ	(-4.391148170200456e-05+0j)
IIXZZZ	(-4.391148170200456e-05+0j)
ZIXIIZ	(-0.0020995126327601915+0j)
ZZXIIZ	(-0.0020995126327601915+0j)
IIZZIX	(-0.0020995126327601915+0j)
IIZZZX	(0.0020995126327601915+0j)
ZZZIZX	(-4.391148170200456e-05+0j)
ZZZIIX	(4.391148170200456e-05+0j)
IZXZIX	(-0.0021939104275799986+0j)
IIXZIX	(-0.0021939104275799986+0j)
IZXZZX	(0.0021939104275799986+0j)
IIXZZX	(0.0021939104275799986+0j)
ZIXIZX	(-0.0021939104275799986+0j)
ZZXIZX	(-0.0021939104275799986+0j)
ZIXIIX	(0.0021939104275799986+0j)
ZZXIIX	(0.0021939104275799986+0j)
IIZZIZ	(-0.00025589903053452345+0j)
ZIZIIZ	(0.00025589903053452345+0j)
IZXZIZ	(4.391148170200445e-05+0j)
IIXZIZ	(4.391148170200445e-05+0j)
ZIZIZX	(-4.391148170200445e-05+0j)
ZIZIIX	(4.391148170200445e-05+0j)
IZZIZI	(-0.00045479381874771003+0j)
IZIIZZ	(0.00045479381874771003+0j)
ZXZZXI	(5.1615944934592486e-05+0j)
IXIZXI	(-5.1615944934592486e-05+0j)
ZXZIXZ	(-5.1615944934592486e-05+0j)
IXIIXZ	(5.1615944934592486e-05+0j)
ZXIZXZ	(-5.1615944934592486e-05+0j)
IXZZXZ	(5.1615944934592486e-05+0j)
ZXIIXI	(5.1615944934592486e-05+0j)
IXZIXI	(-5.1615944934592486e-05+0j)
XXZXXI	(-5.1615944934592365e-05+0j)
YYIXXI	(-5.1615944934592365e-05+0j)
XXZYYZ	(5.1615944934592365e-05+0j)
YYIYYZ	(5.1615944934592365e-05+0j)
XXIXXZ	(5.1615944934592365e-05+0j)
YYZXXZ	(5.1615944934592365e-05+0j)
XXIYYI	(-5.1615944934592365e-05+0j)
YYZYYI	(-5.1615944934592365e-05+0j)
ZXZZYY	(-2.7905219216694867e-05+0j)
IXIZYY	(2.7905219216694867e-05+0j)
ZXZIXX	(-2.7905219216694867e-05+0j)
IXIIXX	(2.7905219216694867e-05+0j)
ZYYZXZ	(2.7905219216694867e-05+0j)
IXXZXZ	(-2.7905219216694867e-05+0j)
ZYYIXI	(-2.7905219216694867e-05+0j)
IXXIXI	(2.7905219216694867e-05+0j)
XXZXYY	(2.7905219216694616e-05+0j)
YYIXYY	(2.7905219216694616e-05+0j)
XXZYYX	(2.7905219216694616e-05+0j)
YYIYYX	(2.7905219216694616e-05+0j)
XYYXXZ	(-2.7905219216694616e-05+0j)
YYXXXZ	(-2.7905219216694616e-05+0j)
XYYYYI	(2.7905219216694616e-05+0j)
YYXYYI	(2.7905219216694616e-05+0j)
ZZIIZI	(-0.0004661981567824448+0j)
IZZZZZ	(-0.0002577768097430605+0j)
ZZZIZZ	(0.0002577768097430605+0j)
IZIZZI	(0.0004661981567824448+0j)
IZZZIX	(0.0018742736148878844+0j)
IZZZZX	(-0.0018742736148878844+0j)
ZIXIZZ	(-0.0018742736148878844+0j)
ZZXIZZ	(-0.0018742736148878844+0j)
ZIIIZI	(-0.00046619815678244697+0j)
IZZZIZ	(0.00025777680974305964+0j)
ZIZIZZ	(0.00025777680974305964+0j)
IZIZII	(-0.00046619815678244697+0j)
ZZIZZZ	(-0.00038312699742973377+0j)
ZZZZZI	(0.00038312699742973377+0j)
XZIZZZ	(1.707599532984935e-08+0j)
XIIZZZ	(-1.707599532984935e-08+0j)
ZZIXZZ	(-1.7075995328619847e-08+0j)
ZZIXIZ	(-1.7075995328619847e-08+0j)
XZZZZI	(-1.7075995328619847e-08+0j)
XIZZZI	(1.7075995328619847e-08+0j)
ZZZXZI	(1.707599532984935e-08+0j)
ZZZXII	(1.707599532984935e-08+0j)
XZIXZZ	(9.833090367103651e-05+0j)
XIIXZZ	(-9.833090367103651e-05+0j)
XZIXIZ	(9.833090367103651e-05+0j)
XIIXIZ	(-9.833090367103651e-05+0j)
XZZXZI	(-9.833090367103651e-05+0j)
XIZXZI	(9.833090367103651e-05+0j)
XZZXII	(-9.833090367103651e-05+0j)
XIZXII	(9.833090367103651e-05+0j)
ZZIZIX	(0.0010268520344658245+0j)
ZZIZZX	(-0.0010268520344658245+0j)
ZIXZZI	(-0.0010268520344658245+0j)
ZZXZZI	(-0.0010268520344658245+0j)
XZIZIX	(-7.830422550671981e-19+0j)
XIIZIX	(7.830422550671981e-19+0j)
XZIZZX	(7.830422550671981e-19+0j)
XIIZZX	(-7.830422550671981e-19+0j)
ZIXXZI	(-7.830422550671981e-19+0j)
ZZXXZI	(-7.830422550671981e-19+0j)
ZIXXII	(-7.830422550671981e-19+0j)
ZZXXII	(-7.830422550671981e-19+0j)
ZIIZZZ	(-0.00018746105565169775+0j)
ZZIZIZ	(0.00018746105565169515+0j)
ZIZZZI	(0.00018746105565169515+0j)
ZZZZII	(-0.00018746105565169775+0j)
ZIIXZZ	(1.7075995330891126e-08+0j)
ZIIXIZ	(1.7075995330891126e-08+0j)
XZIZIZ	(1.7075995329731843e-08+0j)
XIIZIZ	(-1.7075995329731843e-08+0j)
ZIZXZI	(-1.7075995329731843e-08+0j)
ZIZXII	(-1.7075995329731843e-08+0j)
XZZZII	(-1.7075995330891126e-08+0j)
XIZZII	(1.7075995330891126e-08+0j)
ZIIZIX	(0.001026852034465824+0j)
ZIIZZX	(-0.001026852034465824+0j)
ZIXZII	(0.001026852034465824+0j)
ZZXZII	(0.001026852034465824+0j)
ZIIZIZ	(0.000383126997429734+0j)
ZIZZII	(-0.000383126997429734+0j)
