YZZYIXZZZY	0.00385160819593602j
XZZXIXZZZY	0.00385160819593602j
XZZYIYZZZY	0.00018250442717696524j
YZZYIYZZZY	(0.004852600266220567+0j)
XZZXIYZZZY	(0.004852600266220567+0j)
YZZXIYZZZY	-0.00018250442717696524j
XZZYIXZZZX	0.00018250442717696524j
YZZYIXZZZX	(0.004852600266220567+0j)
XZZXIXZZZX	(0.004852600266220567+0j)
YZZXIXZZZX	-0.00018250442717696524j
YZZYIYZZZX	-0.00385160819593602j
XZZXIYZZZX	-0.00385160819593602j
YZZZYXZZYI	0.00018250442717696524j
XZZZXXZZYI	0.00018250442717696524j
XZZZYYZZYI	0.00385160819593602j
YZZZYYZZYI	(0.004852600266220567+0j)
XZZZXYZZYI	(0.004852600266220567+0j)
YZZZXYZZYI	-0.00385160819593602j
XZZZYXZZXI	0.00385160819593602j
YZZZYXZZXI	(0.004852600266220567+0j)
XZZZXXZZXI	(0.004852600266220567+0j)
YZZZXXZZXI	-0.00385160819593602j
YZZZYYZZXI	-0.00018250442717696524j
XZZZXYZZXI	-0.00018250442717696524j
IIIIIIIZIZ	(0.1292351383608052+0j)
IIZIIIIIIZ	(0.13299820980988164+0j)
IIIIZIIZII	(0.13299820980988164+0j)
IIZIZIIIII	(0.1292351383608052+0j)
IIIIIIIZXY	-0.00132354596508485j
IIIIIIIZYY	(0.005980415082433863+0j)
IIIIIIIZXX	(0.005980415082433863+0j)
IIIIIIIZYX	0.00132354596508485j
IIZIIIIIXY	-0.004992649733843903j
IIZIIIIIYY	(0.0011278148162132955+0j)
IIZIIIIIXX	(0.0011278148162132955+0j)
IIZIIIIIYX	0.004992649733843903j
IIIXYIIZII	-0.004992649733843903j
IIIYYIIZII	(0.0011278148162132955+0j)
IIIXXIIZII	(0.0011278148162132955+0j)
IIIYXIIZII	0.004992649733843903j
IIZXYIIIII	-0.0013235459650848497j
IIZYYIIIII	(0.005980415082433863+0j)
IIZXXIIIII	(0.005980415082433863+0j)
IIZYXIIIII	0.0013235459650848497j
IIIIIIZIIZ	(0.1292351383608052+0j)
IZIIIIIIIZ	(0.13299820980988164+0j)
IIIIZIZIII	(0.13299820980988164+0j)
IZIIZIIIII	(0.1292351383608052+0j)
IIIIIIZIXY	-0.0013235459650848488j
IIIIIIZIYY	(0.0059804150824338655+0j)
IIIIIIZIXX	(0.0059804150824338655+0j)
IIIIIIZIYX	0.0013235459650848488j
IZIIIIIIXY	-0.004992649733843903j
IZIIIIIIYY	(0.0011278148162132983+0j)
IZIIIIIIXX	(0.0011278148162132983+0j)
IZIIIIIIYX	0.004992649733843903j
IIIXYIZIII	-0.004992649733843903j
IIIYYIZIII	(0.0011278148162132985+0j)
IIIXXIZIII	(0.0011278148162132985+0j)
IIIYXIZIII	0.004992649733843903j
IZIXYIIIII	-0.0013235459650848486j
IZIYYIIIII	(0.0059804150824338655+0j)
IZIXXIIIII	(0.0059804150824338655+0j)
IZIYXIIIII	0.0013235459650848486j
