IXXZXX	(0.0010969552137900004+0j)
ZYYIYY	(0.0010969552137900004+0j)
ZXXIYY	(0.0010969552137900004+0j)
ZYYIXX	(0.0010969552137900004+0j)
ZXXIXX	(0.0010969552137900004+0j)
IZIIZZ	(0.00141975683473271+0j)
IZZIZI	(0.00141975683473271+0j)
YYIYYZ	(4.3172439618449147e-05+0j)
XXIYYZ	(4.3172439618449147e-05+0j)
YYIXXZ	(4.3172439618449147e-05+0j)
XXIXXZ	(4.3172439618449147e-05+0j)
YYZYYI	(4.3172439618449147e-05+0j)
XXZYYI	(4.3172439618449147e-05+0j)
YYZXXI	(4.3172439618449147e-05+0j)
XXZXXI	(4.3172439618449147e-05+0j)
YYIYIY	(2.5304723025558336e-05+0j)
XXIYIY	(2.5304723025558336e-05+0j)
YYIXIX	(2.5304723025558336e-05+0j)
XXIXIX	(2.5304723025558336e-05+0j)
YIYYYI	(2.5304723025558336e-05+0j)
XIXYYI	(2.5304723025558336e-05+0j)
YIYXXI	(2.5304723025558336e-05+0j)
XIXXXI	(2.5304723025558336e-05+0j)
IIIZZZ	(0.0008058738308551938+0j)
ZIIIZZ	(0.0011149356128997321+0j)
IZIZIZ	(0.0019460014842636434+0j)
ZZIIIZ	(0.0021687183870712835+0j)
IIZZZI	(0.0021687183870712835+0j)
ZIZIZI	(0.0019460014842636434+0j)
IZZZII	(0.0011149356128997321+0j)
ZZZIII	(0.0008058738308551938+0j)
IZIZYY	(-0.000937136807443943+0j)
IZIZXX	(-0.000937136807443943+0j)
ZZIIYY	(-0.0009624415304695014+0j)
ZZIIXX	(-0.0009624415304695014+0j)
IYYZZI	(-0.0009624415304695014+0j)
IXXZZI	(-0.0009624415304695014+0j)
ZYYIZI	(-0.000937136807443943+0j)
ZXXIZI	(-0.000937136807443943+0j)
ZIIZIZ	(0.0014577159781057007+0j)
ZIZZII	(0.0014577159781057007+0j)
ZIIZYY	(-0.000428505340314389+0j)
ZIIZXX	(-0.000428505340314389+0j)
ZYYZII	(-0.000428505340314389+0j)
ZXXZII	(-0.000428505340314389+0j)
IZIZZI	(0.0022037782940067027+0j)
ZZIIZI	(0.0022037782940067027+0j)
ZIIZZI	(0.0017898059297894254+0j)
ZZIZII	(0.0017898059297894254+0j)
