IIIIZIXX	(-0.015047105362024684+0j)
IIIIZIYX	0.007705638977735181j
ZIIIIIXY	-0.0029047093957297147j
ZIIIIIYY	(-0.015415336404421501+0j)
ZIIIIIXX	(-0.015415336404421501+0j)
ZIIIIIYX	0.0029047093957297147j
IIXYZIII	-0.0029047093957297147j
IIYYZIII	(-0.015415336404421501+0j)
IIXXZIII	(-0.015415336404421501+0j)
IIYXZIII	0.0029047093957297147j
ZIXYIIII	-0.007705638977735181j
ZIYYIIII	(-0.015047105362024684+0j)
ZIXXIIII	(-0.015047105362024684+0j)
ZIYXIIII	0.007705638977735181j
IIZIIIZI	(0.0935269998975664+0j)
IYYIIXYI	0.0005873670587970602j
IXXIIXYI	0.0005873670587970602j
IXYIIYYI	0.0005873670587970602j
IYYIIYYI	(0.007322175022714039+0j)
IXXIIYYI	(0.007322175022714039+0j)
IYXIIYYI	-0.0005873670587970602j
IXYIIXXI	0.0005873670587970602j
IYYIIXXI	(0.007322175022714039+0j)
IXXIIXXI	(0.007322175022714039+0j)
IYXIIXXI	-0.0005873670587970602j
IYYIIYXI	-0.0005873670587970602j
IXXIIYXI	-0.0005873670587970602j
YZYIXZYI	0.0005873670587970598j
XZXIXZYI	0.0005873670587970598j
XZYIYZYI	0.0005873670587970598j
YZYIYZYI	(0.007322175022714048+0j)
XZXIYZYI	(0.007322175022714048+0j)
YZXIYZYI	-0.0005873670587970598j
XZYIXZXI	0.0005873670587970598j
YZYIXZXI	(0.007322175022714048+0j)
XZXIXZXI	(0.007322175022714048+0j)
YZXIXZXI	-0.0005873670587970598j
YZYIYZXI	-0.0005873670587970598j
XZXIYZXI	-0.0005873670587970598j
IIIIIZZI	(0.07054324456191724+0j)
IZIIIIZI	(0.07786541958463127+0j)
IIZIIZII	(0.07786541958463127+0j)
IZZIIIII	(0.07054324456191724+0j)
IIIIZIZI	(0.07054324456191728+0j)
ZIIIIIZI	(0.07786541958463132+0j)
IIZIZIII	(0.07786541958463132+0j)
ZIZIIIII	(0.07054324456191728+0j)
IZIIIZII	(0.08348292918863719+0j)
YYIIIZII	(-3.0033350757128106e-07+0j)
XXIIIZII	(-3.0033350757128106e-07+0j)
IZIIYYII	(-3.0033350757128106e-07+0j)
IZIIXXII	(-3.0033350757128106e-07+0j)
YYIIYYII	(0.004477963477025217+0j)
XXIIYYII	(0.004477963477025217+0j)
YYIIXXII	(0.004477963477025217+0j)
XXIIXXII	(0.004477963477025217+0j)
IIIIZZII	(0.07003152342143254+0j)
ZIIIIZII	(0.07450948689845777+0j)
IZIIZIII	(0.07450948689845777+0j)
ZZIIIIII	(0.07003152342143254+0j)
ZIIIYYII	(3.003335076171589e-07+0j)
ZIIIXXII	(3.003335076171589e-07+0j)
YYIIZIII	(3.003335076171589e-07+0j)
XXIIZIII	(3.003335076171589e-07+0j)
ZIIIZIII	(0.08348292918863727+0j)
IIIZIIZZ	(0.0011535746364494896+0j)
IIZZIIIZ	(0.0011535746364494896+0j)
IIYYIIZZ	(-0.00015024974095130918+0j)
IIXXIIZZ	(-0.00015024974095130918+0j)
IIZZIIYY	(-0.00015024974095130918+0j)
IIZZIIXX	(-0.00015024974095130918+0j)
IYZYIYYZ	(-4.34033042085906e-05+0j)
IXZXIYYZ	(-4.34033042085906e-05+0j)
IYZYIXXZ	(-4.34033042085906e-05+0j)
IXZXIXXZ	(-4.34033042085906e-05+0j)
IYYZIYZY	(-4.34033042085906e-05+0j)
IXXZIYZY	(-4.34033042085906e-05+0j)
IYYZIXZX	(-4.34033042085906e-05+0j)
IXXZIXZX	(-4.34033042085906e-05+0j)
YZZYYZYZ	(-4.340330420859097e-05+0j)
XZZXYZYZ	(-4.340330420859097e-05+0j)
YZZYXZXZ	(-4.340330420859097e-05+0j)
XZZXXZXZ	(-4.340330420859097e-05+0j)
YZYZYZZY	(-4.340330420859097e-05+0j)
XZXZYZZY	(-4.340330420859097e-05+0j)
YZYZXZZX	(-4.340330420859097e-05+0j)
XZXZXZZX	(-4.340330420859097e-05+0j)
IYZYIYIY	(0.00026588934242608906+0j)
IXZXIYIY	(0.00026588934242608906+0j)
IYZYIXIX	(0.00026588934242608906+0j)
IXZXIXIX	(0.00026588934242608906+0j)
IYIYIYZY	(0.00026588934242608906+0j)
IXIXIYZY	(0.00026588934242608906+0j)
IYIYIXZX	(0.00026588934242608906+0j)
IXIXIXZX	(0.00026588934242608906+0j)
YZZYYZIY	(0.00026588934242608917+0j)
XZZXYZIY	(0.00026588934242608917+0j)
YZZYXZIX	(0.00026588934242608917+0j)
XZZXXZIX	(0.00026588934242608917+0j)
YZIYYZZY	(0.00026588934242608917+0j)
XZIXYZZY	(0.00026588934242608917+0j)
YZIYXZZX	(0.00026588934242608917+0j)
XZIXXZZX	(0.00026588934242608917+0j)
IIIZIZIZ	(0.0019128193565367587+0j)
IZIZIIIZ	(0.0019128193565367587+0j)
IIYYIZIZ	(-0.001006353012171505+0j)
IIXXIZIZ	(-0.001006353012171505+0j)
IZYYIIIZ	(-0.001049756316380096+0j)
IZXXIIIZ	(-0.001049756316380096+0j)
IIIZIZYY	(-0.001049756316380096+0j)
IIIZIZXX	(-0.001049756316380096+0j)
IZIZIIYY	(-0.001006353012171505+0j)
